"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-10,5216,monthly,112.49,2006-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-10,14135,monthly,103.73,2006-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-10,10289,monthly,98.62,2006-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-10,11090,monthly,103.29,2006-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-11,9804,monthly,97.68,2006-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-11,5343,monthly,111.62,2006-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-11,14994,monthly,104.58,2006-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-11,10511,monthly,99.2,2006-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-11,11381,monthly,103.76,2006-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-12,10413,monthly,98.81,2006-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-12,6047,monthly,114.41,2006-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-12,15679,monthly,105.73,2006-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-12,11472,monthly,99.75,2006-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-12,11749,monthly,105.11,2006-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-01,7037,monthly,98.5,2007-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-01,3904,monthly,113.1,2007-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-01,10718,monthly,104.94,2007-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-01,7705,monthly,99.18,2007-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-01,8271,monthly,104.15,2007-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-02,7125,monthly,98.92,2007-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-02,4014,monthly,111.97,2007-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-02,11229,monthly,105.57,2007-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-02,7614,monthly,99.44,2007-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-02,8423,monthly,104.34,2007-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-03,9116,monthly,99.3,2007-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-03,5267,monthly,112.77,2007-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-03,13744,monthly,105.79,2007-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-03,9816,monthly,99.98,2007-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-03,10371,monthly,104.81,2007-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-04,8170,monthly,100.25,2007-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-04,4734,monthly,115.27,2007-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-04,12406,monthly,107.72,2007-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-04,8414,monthly,101.97,2007-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-04,9276,monthly,107.32,2007-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-05,8914,monthly,100.51,2007-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-05,5560,monthly,115.78,2007-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-05,13623,monthly,108.62,2007-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-05,9436,monthly,102.22,2007-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-05,10536,monthly,108.57,2007-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-06,10668,monthly,101.66,2007-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-06,6406,monthly,117.5,2007-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-06,15600,monthly,110.22,2007-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-06,11228,monthly,102.48,2007-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-06,12141,monthly,109.7,2007-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-07,9522,monthly,102.75,2007-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-07,5765,monthly,118.99,2007-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-07,14735,monthly,110.54,2007-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-07,10099,monthly,103.3,2007-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-07,11262,monthly,109.92,2007-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-08,10470,monthly,103.48,2007-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-08,5930,monthly,118.25,2007-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-08,15679,monthly,111.37,2007-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-08,10693,monthly,104.49,2007-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-08,11457,monthly,110.07,2007-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-09,8229,monthly,103.82,2007-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-09,4766,monthly,118.05,2007-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-09,12666,monthly,111.06,2007-09-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-09,8677,monthly,103.99,2007-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-09,9072,monthly,109.69,2007-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-10,8177,monthly,102.53,2007-10-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-10,5077,monthly,117.75,2007-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-10,13058,monthly,111.25,2007-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-10,9137,monthly,104.23,2007-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-10,9891,monthly,110.33,2007-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-11,8697,monthly,102.79,2007-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-11,5193,monthly,118.5,2007-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-11,13321,monthly,110.81,2007-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-11,9266,monthly,103.48,2007-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-11,9599,monthly,110.1,2007-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2007-12,7083,monthly,102.33,2007-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2007-12,4126,monthly,118.23,2007-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2007-12,10891,monthly,112.04,2007-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2007-12,7362,monthly,104.13,2007-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2007-12,7935,monthly,110.29,2007-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-01,4705,monthly,99.61,2008-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-01,2800,monthly,115.59,2008-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-01,7384,monthly,109.0,2008-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-01,5045,monthly,101.94,2008-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-01,5702,monthly,108.12,2008-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-02,5182,monthly,99.59,2008-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-02,2919,monthly,115.25,2008-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-02,8133,monthly,107.93,2008-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-02,5630,monthly,102.22,2008-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-02,6036,monthly,107.77,2008-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-03,4967,monthly,99.07,2008-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-03,2952,monthly,114.01,2008-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-03,7746,monthly,106.56,2008-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-03,5244,monthly,101.1,2008-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-03,5372,monthly,106.62,2008-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-04,5310,monthly,99.21,2008-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-04,3098,monthly,116.05,2008-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-04,8083,monthly,108.36,2008-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-04,5761,monthly,100.67,2008-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-04,6001,monthly,107.39,2008-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-05,5595,monthly,99.0,2008-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-05,3163,monthly,117.01,2008-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-05,8044,monthly,107.82,2008-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-05,5996,monthly,101.67,2008-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-05,6539,monthly,107.88,2008-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-06,5020,monthly,98.62,2008-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-06,2827,monthly,115.63,2008-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-06,7010,monthly,107.42,2008-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-06,5611,monthly,100.61,2008-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-06,6046,monthly,105.73,2008-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-07,4420,monthly,98.24,2008-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-07,2488,monthly,112.93,2008-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-07,6658,monthly,105.73,2008-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-07,4826,monthly,98.35,2008-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-07,5160,monthly,105.55,2008-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-08,4110,monthly,95.14,2008-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-08,2119,monthly,112.28,2008-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-08,5854,monthly,104.57,2008-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-08,4395,monthly,96.93,2008-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-08,4746,monthly,103.81,2008-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-09,3565,monthly,92.79,2008-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-09,1954,monthly,108.34,2008-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-09,5069,monthly,101.36,2008-09-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-09,3746,monthly,95.67,2008-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-09,4047,monthly,101.07,2008-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-10,3962,monthly,91.21,2008-10-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-10,1999,monthly,106.22,2008-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-10,5259,monthly,100.31,2008-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-10,4101,monthly,93.76,2008-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-10,4482,monthly,99.44,2008-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-11,3224,monthly,87.79,2008-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-11,1713,monthly,105.74,2008-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-11,4412,monthly,97.67,2008-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-11,3376,monthly,91.23,2008-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-11,3651,monthly,96.45,2008-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2008-12,3700,monthly,87.74,2008-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2008-12,1710,monthly,102.66,2008-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2008-12,4694,monthly,96.69,2008-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2008-12,3472,monthly,89.42,2008-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2008-12,3899,monthly,95.49,2008-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-01,2245,monthly,85.71,2009-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-01,1138,monthly,101.33,2009-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-01,3128,monthly,93.7,2009-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-01,2356,monthly,88.23,2009-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-01,2377,monthly,92.21,2009-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-02,2271,monthly,84.52,2009-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-02,1200,monthly,100.06,2009-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-02,3232,monthly,93.31,2009-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-02,2566,monthly,87.28,2009-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-02,2672,monthly,92.35,2009-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-03,3227,monthly,84.54,2009-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-03,1680,monthly,99.93,2009-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-03,4298,monthly,91.63,2009-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-03,3224,monthly,86.31,2009-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-03,3412,monthly,90.94,2009-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-04,3392,monthly,84.84,2009-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-04,1708,monthly,100.95,2009-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-04,4467,monthly,93.92,2009-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-04,3376,monthly,86.53,2009-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-04,3634,monthly,92.9,2009-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-05,3899,monthly,84.52,2009-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-05,1998,monthly,102.03,2009-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-05,4980,monthly,94.25,2009-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-05,3865,monthly,87.75,2009-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-05,4046,monthly,93.41,2009-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-06,4667,monthly,86.62,2009-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-06,2218,monthly,103.13,2009-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-06,5807,monthly,94.72,2009-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-06,4470,monthly,87.9,2009-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-06,4793,monthly,94.1,2009-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-07,5131,monthly,87.36,2009-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-07,2277,monthly,103.24,2009-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-07,6717,monthly,96.17,2009-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-07,5279,monthly,90.49,2009-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-07,5366,monthly,97.05,2009-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-08,4815,monthly,88.72,2009-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-08,2126,monthly,104.71,2009-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-08,6010,monthly,96.83,2009-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-08,4887,monthly,91.19,2009-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-08,4767,monthly,97.14,2009-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-09,4718,monthly,88.82,2009-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-09,2098,monthly,105.61,2009-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-09,5975,monthly,97.29,2009-09-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-09,4779,monthly,91.35,2009-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-09,4868,monthly,96.96,2009-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-10,5528,monthly,90.03,2009-10-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-10,2438,monthly,105.1,2009-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-10,6903,monthly,97.93,2009-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-10,5648,monthly,92.59,2009-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-10,5601,monthly,98.41,2009-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-11,4944,monthly,90.15,2009-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-11,2139,monthly,105.95,2009-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-11,6594,monthly,98.25,2009-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-11,5002,monthly,92.15,2009-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-11,5106,monthly,98.57,2009-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2009-12,6846,monthly,91.49,2009-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2009-12,2934,monthly,106.87,2009-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2009-12,8285,monthly,99.79,2009-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2009-12,6360,monthly,93.49,2009-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2009-12,6647,monthly,99.24,2009-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-01,2727,monthly,88.8,2010-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-01,1363,monthly,102.38,2010-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-01,3595,monthly,96.34,2010-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-01,2914,monthly,92.27,2010-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-01,2846,monthly,97.51,2010-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-02,3313,monthly,90.85,2010-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-02,1632,monthly,104.12,2010-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-02,4713,monthly,97.83,2010-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-02,3423,monthly,92.94,2010-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-02,3549,monthly,97.48,2010-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-03,4501,monthly,89.71,2010-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-03,1851,monthly,105.08,2010-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-03,5662,monthly,96.51,2010-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-03,4286,monthly,92.44,2010-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-03,4236,monthly,97.46,2010-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-04,4374,monthly,90.75,2010-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-04,2080,monthly,105.34,2010-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-04,5652,monthly,98.62,2010-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-04,4417,monthly,93.97,2010-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-04,4388,monthly,98.7,2010-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-05,4210,monthly,92.25,2010-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-05,2018,monthly,104.88,2010-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-05,5625,monthly,98.71,2010-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-05,4263,monthly,94.19,2010-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-05,4694,monthly,98.98,2010-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-06,5193,monthly,92.5,2010-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-06,2557,monthly,105.52,2010-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-06,6569,monthly,99.03,2010-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-06,5134,monthly,95.04,2010-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-06,5328,monthly,99.43,2010-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-07,5533,monthly,93.04,2010-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-07,2623,monthly,105.29,2010-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2010-07,7189,monthly,98.48,2010-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2010-07,5691,monthly,95.24,2010-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2010-07,5657,monthly,100.82,2010-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2010-08,4949,monthly,93.71,2010-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2010-08,2320,monthly,107.7,2010-08-01
