"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-10,10458,monthly,75.75,2003-10-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-10,6148,monthly,74.58,2003-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-10,17128,monthly,67.4,2003-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-10,11359,monthly,74.89,2003-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-10,12209,monthly,68.52,2003-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-11,9623,monthly,76.61,2003-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-11,5677,monthly,75.71,2003-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-11,15994,monthly,68.68,2003-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-11,10563,monthly,76.13,2003-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-11,11302,monthly,69.9,2003-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2003-12,10239,monthly,76.8,2003-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2003-12,5747,monthly,76.44,2003-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2003-12,16396,monthly,70.73,2003-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2003-12,10875,monthly,77.76,2003-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2003-12,11890,monthly,71.52,2003-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-01,7314,monthly,77.71,2004-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-01,3865,monthly,77.67,2004-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-01,11657,monthly,70.3,2004-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-01,7782,monthly,77.42,2004-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-01,8444,monthly,71.1,2004-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-02,7473,monthly,78.24,2004-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-02,4006,monthly,75.56,2004-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-02,11788,monthly,71.23,2004-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-02,8319,monthly,78.16,2004-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-02,8425,monthly,71.45,2004-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-03,8770,monthly,78.9,2004-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-03,4888,monthly,79.4,2004-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-03,14123,monthly,72.41,2004-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-03,9281,monthly,79.38,2004-03-01
