"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-11,13108,monthly,68.4,2003-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-11,14754,monthly,53.51,2003-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-11,19055,monthly,68.05,2003-11-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-11,12065,monthly,72.48,2003-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-11,6162,monthly,69.38,2003-11-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2003-12,13573,monthly,69.09,2003-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-12,14839,monthly,53.86,2003-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2003-12,20275,monthly,68.23,2003-12-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2003-12,12271,monthly,73.77,2003-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2003-12,6073,monthly,71.78,2003-12-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-01,9947,monthly,69.96,2004-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-01,12767,monthly,54.33,2004-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-01,15524,monthly,68.77,2004-01-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-01,9397,monthly,74.45,2004-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-01,4291,monthly,72.65,2004-01-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-02,10337,monthly,70.18,2004-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-02,12160,monthly,54.56,2004-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-02,14951,monthly,69.13,2004-02-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-02,9053,monthly,74.3,2004-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-02,4206,monthly,73.52,2004-02-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-03,11676,monthly,70.79,2004-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-03,14409,monthly,54.94,2004-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-03,16856,monthly,69.68,2004-03-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-03,10237,monthly,75.87,2004-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-03,5256,monthly,74.18,2004-03-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-04,13128,monthly,72.34,2004-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-04,14873,monthly,56.07,2004-04-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-04,19484,monthly,70.46,2004-04-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-04,12318,monthly,77.66,2004-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-04,5821,monthly,78.9,2004-04-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-05,12236,monthly,72.95,2004-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-05,13613,monthly,56.43,2004-05-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-05,18081,monthly,71.7,2004-05-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-05,11178,monthly,79.1,2004-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-05,5226,monthly,79.35,2004-05-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-06,14019,monthly,74.48,2004-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-06,16163,monthly,57.13,2004-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-06,20246,monthly,72.59,2004-06-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-06,12566,monthly,80.95,2004-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-06,5688,monthly,83.51,2004-06-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-07,14524,monthly,75.46,2004-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-07,17612,monthly,58.06,2004-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-07,21788,monthly,73.52,2004-07-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-07,13212,monthly,82.42,2004-07-01
